Time,Position_X,Position_Y,Velocity_X,Velocity_Y,Orientation_Theta
1627860100448,0.0,0.0,0.0,0.0,0.0
1627860100452,-8.184592917718213,-7.446451172838448,-2.046148229429553,-1.861612793209612,-0.03986332
1627860100456,-24.712830118543685,-28.180320991135535,-4.132059300206368,-5.183467454574272,-0.0090058984
1627860100460,-47.2427764593198,-65.53161974340374,-5.632486585194028,-9.33782468806705,0.0686961616
1627860100464,-72.62989616884026,-122.18728773009829,-6.3467799273801155,-14.163916996673638,0.1465378456
1627860100468,-98.66296331692047,-198.22854774481945,-6.508266787020053,-19.01031500368029,0.2027374496
1627860100472,-126.20586224990461,-289.16377901921555,-6.885724733246038,-22.733807818599026,0.2218662576
1627860100476,-159.01321590177957,-386.73525325347725,-8.201838412968739,-24.392868558565425,0.18814649760000002
1627860100480,-200.2331127763684,-482.5094884973363,-10.304974218647201,-23.94355881096476,0.10206686160000002
1627860100485,-266.1972133854732,-597.1746749792449,-13.192820121820972,-22.93303729638171,-0.037821283399999975
1627860100488,-311.2694613136823,-667.5592898152581,-15.024082642736367,-23.461538278671075,-0.07887142789999997
1627860100492,-380.63490020340373,-771.1028382199787,-17.341359722430358,-25.885887101180142,-0.060929442699999975
1627860100497,-477.68567122476236,-921.0232973013315,-19.410154204271727,-29.984091816270563,0.042481317300000015
1627860100500,-537.1412668626086,-1019.8438356248112,-19.81853187928208,-32.94017944115991,0.12128292930000001
1627860100504,-614.2724593915834,-1168.8224302558383,-19.2827981322437,-37.244648657756755,0.2218837093
1627860100508,-686.799374486543,-1333.0631332159194,-18.131728773739894,-41.06017574002026,0.2840872433
1627860100512,-757.155529694437,-1506.7847858261302,-17.589038801973484,-43.43041315255269,0.28436649598
1627860100517,-849.5855824864353,-1724.041510727433,-18.486010558399677,-43.45134498026057,0.21193533098000003
1627860100520,-908.1515349493736,-1852.1617296966333,-19.52198415431275,-42.706739656400096,0.13533283298000004
